lat,lng,count,time
36.66613,117.03896,10.0,2013-09-12 00:00
36.6674,116.98697,4.0,2013-09-12 00:00
36.68372,117.0041,4.0,2013-09-12 00:00
36.66935,116.98536,69.0,2013-09-12 00:00
36.66032,116.97495,3.0,2013-09-12 00:00
36.68159,117.04834,14.0,2013-09-12 00:00
36.64024,117.04546,6.0,2013-09-12 00:00
36.65412,117.07645,3.0,2013-09-12 00:00
36.69448,116.98932,4.0,2013-09-12 00:00
36.68662,117.00938,3.0,2013-09-12 00:00
36.68357,117.05824,10.0,2013-09-12 00:00
36.67656,117.03587,4.0,2013-09-12 00:00
36.66392,116.98478,4.0,2013-09-12 00:00
36.68792,117.03458,4.0,2013-09-12 00:00
36.68637,117.04419,6.0,2013-09-12 00:00
36.68282,117.05506,6.0,2013-09-12 00:00
36.64912,117.04981,6.0,2013-09-12 00:00
36.66,117.02655,14.0,2013-09-12 00:00
36.68462,117.06651,4.0,2013-09-12 00:00
36.68254,117.05426,3.0,2013-09-12 00:00
36.66072,116.97654,5.0,2013-09-12 00:00
36.67804,117.06052,3.0,2013-09-12 00:00
36.66784,116.98905,3.0,2013-09-12 00:00
36.6659,117.06122,3.0,2013-09-12 00:00
36.68452,116.99947,6.0,2013-09-12 00:00
36.6846,117.02308,3.0,2013-09-12 00:00
36.63478,116.99184,5.0,2013-09-12 00:00
36.68193,117.05031,4.0,2013-09-12 00:00
36.68404,117.02567,4.0,2013-09-12 00:00
36.6831,116.9642,4.0,2013-09-12 00:00
36.68603,117.02736,4.0,2013-09-12 00:00
36.66576,117.06505,3.0,2013-09-12 00:00
36.6876,117.02708,3.0,2013-09-12 00:00
36.66039,117.0388,3.0,2013-09-12 00:00
36.65459,117.06236,4.0,2013-09-12 00:00
36.66061,117.05891,4.0,2013-09-12 00:00
36.6867,117.02983,5.0,2013-09-12 00:00
36.6786,117.03576,3.0,2013-09-12 00:00
36.70079,116.97062,4.0,2013-09-12 00:00
36.61428,117.00055,9.0,2013-09-12 00:00
36.65998,117.03097,3.0,2013-09-12 00:00
36.64565,117.01852,4.0,2013-09-12 00:00
36.65429,117.07445,3.0,2013-09-12 00:00
36.67984,116.97217,3.0,2013-09-12 00:00
36.64289,117.0183,4.0,2013-09-12 00:00
36.68503,117.02066,4.0,2013-09-12 00:00
36.66531,117.02768,4.0,2013-09-12 00:00
36.7036,117.05827,3.0,2013-09-12 00:00
36.64716,117.00718,7.0,2013-09-12 00:00
36.66377,117.01126,5.0,2013-09-12 00:00
36.67854,117.0206,3.0,2013-09-12 00:00
36.65451,117.02424,4.0,2013-09-12 00:00
36.65358,117.11885,3.0,2013-09-12 00:00
36.66141,116.99542,3.0,2013-09-12 00:00
36.67993,117.06681,3.0,2013-09-12 00:00
36.64553,116.9957,5.0,2013-09-12 00:00
36.67831,116.98421,4.0,2013-09-12 00:00
36.67736,116.99377,4.0,2013-09-12 00:00
36.64812,117.04206,4.0,2013-09-12 00:00
36.69836,116.98814,4.0,2013-09-12 00:00
36.6828,116.95161,3.0,2013-09-12 00:00
36.68558,117.00932,3.0,2013-09-12 00:00
36.68133,117.06737,3.0,2013-09-12 00:00
36.65923,117.0807,3.0,2013-09-12 00:00
36.66713,117.01051,3.0,2013-09-12 00:00
36.66021,117.01969,3.0,2013-09-12 00:00
36.63,116.9907,3.0,2013-09-12 00:00
36.66613,117.04889,3.0,2013-09-12 00:00
36.64972,117.07908,3.0,2013-09-12 00:00
36.62946,116.9929,3.0,2013-09-12 00:00
36.67963,117.02306,6.0,2013-09-12 00:00
